FECHA,COVARIADO,PARTICULAR
15/01/2017,Partido,Millonarios
18/01/2017,Partido,Millonarios
1/02/2017,Partido,Millonarios
5/02/2017,Partido,Millonarios
8/02/2017,Partido,Millonarios
12/02/2017,Partido,Millonarios
19/02/2017,Partido,Millonarios
22/02/2017,Partido,Millonarios
1/03/2017,Partido,Millonarios
5/03/2017,Partido,Millonarios
11/03/2017,Partido,Millonarios
19/03/2017,Partido,Millonarios
25/03/2017,Partido,Millonarios
29/03/2017,Partido,Millonarios
15/04/2017,Partido,Millonarios
22/04/2017,Partido,Millonarios
30/04/2017,Partido,Millonarios
6/05/2017,Partido,Millonarios
9/05/2017,Partido,Millonarios
14/05/2017,Partido,Millonarios
20/05/2017,Partido,Millonarios
27/05/2017,Partido,Millonarios
31/05/2017,Partido,Millonarios
4/06/2017,Partido,Millonarios
7/06/2017,Partido,Millonarios
11/06/2017,Partido,Millonarios
8/07/2017,Partido,Millonarios
13/07/2017,Partido,Millonarios
27/07/2017,Partido,Millonarios
9/08/2017,Partido,Millonarios
23/08/2017,Partido,Millonarios
31/01/2018,Partido,Millonarios
4/02/2018,Partido,Millonarios
7/02/2018,Partido,Millonarios
11/02/2018,Partido,Millonarios
14/02/2018,Partido,Millonarios
18/02/2018,Partido,Millonarios
24/02/2018,Partido,Millonarios
28/02/2018,Partido,Millonarios
4/03/2018,Partido,Millonarios
8/03/2018,Partido,Millonarios
15/03/2018,Partido,Millonarios
18/03/2018,Partido,Millonarios
22/03/2018,Partido,Millonarios
25/03/2018,Partido,Millonarios
29/03/2018,Partido,Millonarios
1/04/2018,Partido,Millonarios
7/04/2018,Partido,Millonarios
10/04/2018,Partido,Millonarios
14/04/2018,Partido,Millonarios
17/04/2018,Partido,Millonarios
21/04/2018,Partido,Millonarios
24/04/2018,Partido,Millonarios
28/04/2018,Partido,Millonarios
2/05/2018,Partido,Millonarios
6/05/2018,Partido,Millonarios
17/05/2018,Partido,Millonarios
24/05/2018,Partido,Millonarios
22/07/2018,Partido,Millonarios
26/07/2018,Partido,Millonarios
29/07/2018,Partido,Millonarios
4/08/2018,Partido,Millonarios
12/08/2018,Partido,Millonarios
15/08/2018,Partido,Millonarios
19/08/2018,Partido,Millonarios
22/08/2018,Partido,Millonarios
25/08/2018,Partido,Millonarios
29/08/2018,Partido,Millonarios
1/09/2018,Partido,Millonarios
4/09/2018,Partido,Millonarios
9/09/2018,Partido,Millonarios
12/09/2018,Partido,Millonarios
15/09/2018,Partido,Millonarios
18/09/2018,Partido,Millonarios
22/09/2018,Partido,Millonarios
26/09/2018,Partido,Millonarios
29/09/2018,Partido,Millonarios
2/10/2018,Partido,Millonarios
27/01/2019,Partido,Millonarios
31/01/2019,Partido,Millonarios
3/02/2019,Partido,Millonarios
9/02/2019,Partido,Millonarios
13/02/2019,Partido,Millonarios
16/02/2019,Partido,Millonarios
23/02/2019,Partido,Millonarios
28/02/2019,Partido,Millonarios
3/03/2019,Partido,Millonarios
9/03/2019,Partido,Millonarios
13/03/2019,Partido,Millonarios
20/03/2019,Partido,Millonarios
23/03/2019,Partido,Millonarios
28/03/2019,Partido,Millonarios
31/03/2019,Partido,Millonarios
3/04/2019,Partido,Millonarios
7/04/2019,Partido,Millonarios
11/04/2019,Partido,Millonarios
14/04/2019,Partido,Millonarios
17/04/2019,Partido,Millonarios
21/04/2019,Partido,Millonarios
25/04/2019,Partido,Millonarios
28/04/2019,Partido,Millonarios
1/04/2019,Partido,Millonarios
5/05/2019,Partido,Millonarios
8/05/2019,Partido,Millonarios
12/05/2019,Partido,Millonarios
15/05/2019,Partido,Millonarios
18/05/2019,Partido,Millonarios
25/05/2019,Partido,Millonarios
1/06/2019,Partido,Millonarios
5/06/2019,Partido,Millonarios
14/07/2019,Partido,Millonarios
21/07/2019,Partido,Millonarios
27/07/2019,Partido,Millonarios
3/08/2019,Partido,Millonarios
7/08/2019,Partido,Millonarios
11/08/2019,Partido,Millonarios
14/08/2019,Partido,Millonarios
17/08/2019,Partido,Millonarios
24/08/2019,Partido,Millonarios
1/09/2019,Partido,Millonarios
4/09/2019,Partido,Millonarios
7/09/2019,Partido,Millonarios
15/09/2019,Partido,Millonarios
21/09/2019,Partido,Millonarios
26/09/2019,Partido,Millonarios
2/10/2019,Partido,Millonarios
6/10/2019,Partido,Millonarios
9/10/2019,Partido,Millonarios
12/10/2019,Partido,Millonarios
19/10/2019,Partido,Millonarios
23/10/2019,Partido,Millonarios
29/10/2019,Partido,Millonarios
22/01/2020,Partido,Millonarios
6/02/2020,Partido,Millonarios
20/02/2020,Partido,Millonarios
3/03/2020,Partido,Millonarios
7/03/2020,Partido,Millonarios
12/09/2020,Partido,Millonarios
19/09/2020,Partido,Millonarios
27/09/2020,Partido,Millonarios
2/10/2020,Partido,Millonarios
6/10/2020,Partido,Millonarios
11/10/2020,Partido,Millonarios
14/10/2020,Partido,Millonarios
17/10/2020,Partido,Millonarios
24/10/2020,Partido,Millonarios
28/10/2020,Partido,Millonarios
31/10/2020,Partido,Millonarios
4/11/2020,Partido,Millonarios
7/11/2020,Partido,Millonarios
10/11/2020,Partido,Millonarios
15/11/2020,Partido,Millonarios
19/11/2020,Partido,Millonarios
27/11/2020,Partido,Millonarios
4/12/2020,Partido,Millonarios
9/12/2020,Partido,Millonarios
17/12/2020,Partido,Millonarios
21/01/2017,Partido,Santa Fé
29/01/2017,Partido,Santa Fé
11/02/2019,Partido,Santa Fé
18/02/2017,Partido,Santa Fé
23/02/2017,Partido,Santa Fé
26/02/2017,Partido,Santa Fé
1/03/2017,Partido,Santa Fé
4/03/2017,Partido,Santa Fé
9/03/2017,Partido,Santa Fé
12/03/2017,Partido,Santa Fé
16/03/2017,Partido,Santa Fé
19/03/2017,Partido,Santa Fé
25/03/2017,Partido,Santa Fé
26/03/2017,Partido,Santa Fé
2/04/2017,Partido,Santa Fé
9/04/2017,Partido,Santa Fé
15/04/2017,Partido,Santa Fé
19/04/2017,Partido,Santa Fé
23/04/2017,Partido,Santa Fé
27/04/2017,Partido,Santa Fé
30/04/2017,Partido,Santa Fé
4/05/2017,Partido,Santa Fé
7/05/2017,Partido,Santa Fé
10/05/2017,Partido,Santa Fé
13/05/2017,Partido,Santa Fé
17/05/2017,Partido,Santa Fé
23/05/2017,Partido,Santa Fé
27/05/2017,Partido,Santa Fé
27/06/2017,Partido,Santa Fé
9/07/2017,Partido,Santa Fé
12/07/2017,Partido,Santa Fé
16/07/2017,Partido,Santa Fé
19/07/2017,Partido,Santa Fé
22/07/2017,Partido,Santa Fé
25/07/2017,Partido,Santa Fé
3/08/2017,Partido,Santa Fé
10/08/2017,Partido,Santa Fé
24/08/2017,Partido,Santa Fé
30/08/2017,Partido,Santa Fé
14/09/2017,Partido,Santa Fé
14/01/2018,Partido,Santa Fé
1/02/2018,Partido,Santa Fé
4/02/2018,Partido,Santa Fé
8/02/2018,Partido,Santa Fé
10/02/2018,Partido,Santa Fé
13/02/2018,Partido,Santa Fé
17/02/2018,Partido,Santa Fé
20/02/2018,Partido,Santa Fé
25/02/2018,Partido,Santa Fé
1/03/2018,Partido,Santa Fé
4/03/2018,Partido,Santa Fé
8/03/2018,Partido,Santa Fé
14/03/2018,Partido,Santa Fé
17/03/2018,Partido,Santa Fé
21/03/2018,Partido,Santa Fé
24/03/2018,Partido,Santa Fé
27/03/2018,Partido,Santa Fé
31/03/2018,Partido,Santa Fé
5/04/2018,Partido,Santa Fé
8/04/2018,Partido,Santa Fé
11/04/2018,Partido,Santa Fé
14/04/2018,Partido,Santa Fé
18/04/2018,Partido,Santa Fé
22/04/2018,Partido,Santa Fé
25/04/2018,Partido,Santa Fé
26/04/2018,Partido,Santa Fé
29/04/2018,Partido,Santa Fé
3/05/2018,Partido,Santa Fé
6/05/2018,Partido,Santa Fé
23/05/2018,Partido,Santa Fé
19/07/2018,Partido,Santa Fé
22/07/2018,Partido,Santa Fé
28/07/2018,Partido,Santa Fé
31/07/2018,Partido,Santa Fé
5/08/2018,Partido,Santa Fé
11/08/2018,Partido,Santa Fé
16/08/2018,Partido,Santa Fé
19/08/2018,Partido,Santa Fé
25/08/2018,Partido,Santa Fé
29/08/2018,Partido,Santa Fé
2/09/2018,Partido,Santa Fé
25/09/2018,Partido,Santa Fé
28/09/2018,Partido,Santa Fé
12/09/2018,Partido,Santa Fé
15/09/2018,Partido,Santa Fé
18/09/2018,Partido,Santa Fé
22/09/2018,Partido,Santa Fé
26/09/2018,Partido,Santa Fé
29/09/2018,Partido,Santa Fé
2/10/2018,Partido,Santa Fé
23/10/2018,Partido,Santa Fé
30/10/2018,Partido,Santa Fé
8/11/2018,Partido,Santa Fé
29/11/2018,Partido,Santa Fé
27/01/2019,Partido,Santa Fé
30/01/2019,Partido,Santa Fé
5/02/2019,Partido,Santa Fé
19/02/2019,Partido,Santa Fé
14/02/2019,Partido,Santa Fé
17/02/2019,Partido,Santa Fé
24/02/2019,Partido,Santa Fé
28/02/2019,Partido,Santa Fé
3/03/2019,Partido,Santa Fé
10/03/2019,Partido,Santa Fé
14/03/2019,Partido,Santa Fé
20/03/2019,Partido,Santa Fé
24/03/2019,Partido,Santa Fé
28/03/2019,Partido,Santa Fé
31/03/2019,Partido,Santa Fé
4/04/2019,Partido,Santa Fé
7/04/2019,Partido,Santa Fé
10/04/2019,Partido,Santa Fé
13/04/2019,Partido,Santa Fé
17/04/2019,Partido,Santa Fé
20/04/2019,Partido,Santa Fé
24/04/2019,Partido,Santa Fé
27/04/2019,Partido,Santa Fé
1/05/2019,Partido,Santa Fé
5/05/2019,Partido,Santa Fé
8/05/2019,Partido,Santa Fé
24/07/2019,Partido,Santa Fé
28/07/2019,Partido,Santa Fé
4/08/2019,Partido,Santa Fé
11/08/2019,Partido,Santa Fé
15/08/2019,Partido,Santa Fé
18/08/2019,Partido,Santa Fé
22/08/2019,Partido,Santa Fé
25/08/2019,Partido,Santa Fé
1/09/2019,Partido,Santa Fé
7/09/2019,Partido,Santa Fé
14/09/2019,Partido,Santa Fé
22/09/2019,Partido,Santa Fé
28/09/2019,Partido,Santa Fé
3/10/2019,Partido,Santa Fé
6/10/2019,Partido,Santa Fé
9/10/2019,Partido,Santa Fé
12/10/2019,Partido,Santa Fé
20/10/2019,Partido,Santa Fé
23/10/2019,Partido,Santa Fé
29/10/2019,Partido,Santa Fé
9/11/2019,Partido,Santa Fé
13/11/2019,Partido,Santa Fé
17/11/2019,Partido,Santa Fé
20/11/2019,Partido,Santa Fé
24/11/2019,Partido,Santa Fé
28/11/2019,Partido,Santa Fé
24/01/2020,Partido,Santa Fé
30/01/2020,Partido,Santa Fé
3/02/2020,Partido,Santa Fé
8/02/2020,Partido,Santa Fé
16/02/2020,Partido,Santa Fé
21/02/2020,Partido,Santa Fé
3/03/2020,Partido,Santa Fé
8/03/2020,Partido,Santa Fé
19/09/2020,Partido,Santa Fé
27/09/2020,Partido,Santa Fé
2/10/2020,Partido,Santa Fé
6/10/2020,Partido,Santa Fé
12/10/2020,Partido,Santa Fé
15/10/2020,Partido,Santa Fé
19/10/2020,Partido,Santa Fé
22/10/2020,Partido,Santa Fé
25/10/2020,Partido,Santa Fé
29/10/2020,Partido,Santa Fé
1/11/2020,Partido,Santa Fé
5/11/2020,Partido,Santa Fé
10/11/2020,Partido,Santa Fé
14/11/2020,Partido,Santa Fé
18/11/2020,Partido,Santa Fé
22/11/2020,Partido,Santa Fé
29/11/2020,Partido,Santa Fé
5/12/2020,Partido,Santa Fé
12/12/2020,Partido,Santa Fé
20/12/2020,Partido,Santa Fé
27/12/2020,Partido,Santa Fé
21/11/2019,Manifestaciones,
22/11/2019,Manifestaciones,
23/11/2019,Manifestaciones,
24/11/2019,Manifestaciones,
25/11/2019,Manifestaciones,
26/11/2019,Manifestaciones,
27/11/2019,Manifestaciones,
28/11/2019,Manifestaciones,
29/11/2019,Manifestaciones,
1/12/2019,Manifestaciones,
2/12/2019,Manifestaciones,
4/12/2019,Manifestaciones,
6/12/2019,Manifestaciones,
7/12/2019,Manifestaciones,
8/12/2019,Manifestaciones,
10/12/2019,Manifestaciones,
13/12/2019,Manifestaciones,
16/12/2019,Manifestaciones,
19/12/2019,Manifestaciones,
23/12/2019,Manifestaciones,
13/01/2020,Manifestaciones,
16/01/2020,Manifestaciones,
21/01/2020,Manifestaciones,
21/02/2020,Manifestaciones,
25/03/2020,Manifestaciones,
9/09/2020,Manifestaciones,
10/09/2020,Manifestaciones,
11/09/2020,Manifestaciones,
12/09/2020,Manifestaciones,
13/09/2020,Manifestaciones,
14/09/2020,Manifestaciones,
15/09/2020,Manifestaciones,
16/09/2020,Manifestaciones,
17/09/2020,Manifestaciones,
18/09/2020,Manifestaciones,
19/09/2020,Manifestaciones,
21/09/2020,Manifestaciones,
22/09/2020,Manifestaciones,
24/09/2020,Manifestaciones,
1/01/2019,Festividad,Año nuevo
7/01/2019,Festividad,Día de reyes
14/02/2019,Festividad,San Valentín
18/04/2019,Festividad,Jueves santo
19/04/2019,Festividad,Viernes santo
8/03/2019,Festividad,Día de la mujer
27/04/2019,Festividad,Día del niño
1/05/2019,Festividad,Día del trabajo
12/05/2019,Festividad,Día de la madre
16/06/2019,Festividad,Día del padre
16/07/2019,Festividad,Día de la virgen del carmen
20/07/2019,Festividad,Día de la Independencia
7/08/2019,Festividad,Batalla de Boyacá
21/09/2019,Festividad,Amor y amistad
12/09/2019,Festividad,Jazz al Parque
13/09/2019,Festividad,Jazz al Parque
14/09/2019,Festividad,Jazz al Parque
15/09/2019,Festividad,Jazz al Parque
29/06/2019,Festividad,Rock al Parque
30/06/2019,Festividad,Rock al Parque
1/07/2019,Festividad,Rock al Parque
5/10/2019,Festividad,Hip-hop al Parque
6/10/2019,Festividad,Hip-hop al Parque
31/10/2019,Festividad,Halloween
7/12/2019,Festividad,Día de Velitas
8/12/2019,Festividad,Día de Velitas
24/12/2019,Festividad,Navidad
25/12/2019,Festividad,Navidad
31/12/2019,Festividad,Año nuevo
1/01/2020,Festividad,Año nuevo
6/01/2020,Festividad,Día de reyes
14/02/2020,Festividad,San Valentín
9/04/2020,Festividad,Jueves santo
10/04/2020,Festividad,Viernes santo
8/03/2020,Festividad,Día de la mujer
25/04/2020,Festividad,Día del niño
1/05/2020,Festividad,Día del trabajo
10/05/2020,Festividad,Día de la madre
21/06/2020,Festividad,Día del padre
16/07/2020,Festividad,Día de la virgen del carmen
20/07/2020,Festividad,Día de la Independencia
7/08/2020,Festividad,Batalla de Boyacá
19/09/2020,Festividad,Amor y amistad
31/10/2020,Festividad,Halloween
7/12/2020,Festividad,Día de Velitas
8/12/2020,Festividad,Día de Velitas
24/12/2020,Festividad,Navidad
25/12/2020,Festividad,Navidad
31/12/2020,Festividad,Año nuevo